LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 0.5
Lattice spacing in x,y,z = 1.4142136 1.4142136 1.4142136
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.70710678) to (28.284271 28.284271 0.70710678)
  2 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.70710678) to (28.284271 28.284271 0.70710678)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 44 44 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.053 | 3.053 | 3.053 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              2.9925         1.49625      
       500   2.9894933      0.17905732     0              3.1610768      3.2406323    
      1000   2.9175009      0.20223995     0              3.1124471      3.4872937    
      1500   3.0314797      0.22799255     0              3.2518935      3.7394421    
      2000   2.9690424      0.2218767      0              3.1834964      3.5614576    
      2500   3.2027139      0.24015587     0              3.434863       3.8767911    
      3000   3.2170024      0.18824333     0              3.3972032      3.5024411    
      3500   3.0294927      0.28413046     0              3.3060495      4.0728836    
      4000   3.211865       0.25293599     0              3.4567714      4.022039     
      4500   3.0620812      0.19820632     0              3.2526323      3.4506188    
      5000   3.1320301      0.21170809     0              3.3359081      3.6015741    
      5500   3.1806382      0.13593062     0              3.3086172      3.0897447    
      6000   2.944566       0.20789344     0              3.145098       3.6234763    
      6500   2.7852313      0.15945461     0              2.9377228      3.0805019    
      7000   2.8832456      0.20343556     0              3.0794731      3.4237499    
      7500   2.9784994      0.21839292     0              3.189446       3.6510111    
      8000   3.0500282      0.14656299     0              3.1889661      3.0106763    
      8500   3.0463956      0.18192513     0              3.2207048      3.2357325    
      9000   3.0804978      0.27895911     0              3.3517557      4.021727     
      9500   3.0766022      0.21733353     0              3.2862442      3.561766     
     10000   3.125574       0.22409097     0              3.3418511      3.6844127    
     10500   3.0667296      0.24995446     0              3.3090172      4.0038848    
     11000   3.0767714      0.26473339     0              3.3338129      3.8648636    
     11500   2.9815332      0.31727079     0              3.2913502      4.1694236    
     12000   3.2505645      0.2072536      0              3.4496917      3.4608027    
     12500   2.9523159      0.26167063     0              3.2066058      3.946707     
     13000   3.1570977      0.1748589      0              3.3240638      3.3915414    
     13500   3.0766898      0.17056542     0              3.2395635      3.1544416    
     14000   2.9029585      0.27734901     0              3.1730502      4.038806     
     14500   2.6485705      0.28926462     0              2.9312137      3.8922082    
     15000   2.849382       0.20996496     0              3.0522235      3.2997769    
     15500   2.899969       0.14195155     0              3.0346706      2.9911023    
     16000   2.8646373      0.22499739     0              3.0824731      3.5764919    
     16500   2.7498948      0.25832997     0              3.00135        3.7890801    
     17000   2.8495891      0.19965034     0              3.0421155      3.4443753    
     17500   3.1806996      0.22408676     0              3.3968346      3.6043499    
     18000   3.1126996      0.23871459     0              3.3436324      3.6970328    
     18500   3.0213348      0.22738814     0              3.2411696      3.7251603    
     19000   3.01003        0.16889459     0              3.1713995      3.2747497    
     19500   2.8060768      0.17638928     0              2.9754509      3.3427005    
     20000   2.9109058      0.20585995     0              3.1094884      3.5432588    
     20500   2.9603231      0.20144146     0              3.1543638      3.6112216    
     21000   2.7507601      0.24692377     0              2.990807       3.7193875    
     21500   2.990928       0.1551615      0              3.1386122      3.1560132    
     22000   3.0166191      0.23538791     0              3.2444655      3.7321633    
     22500   3.1145917      0.2431097      0              3.3499149      3.918377     
     23000   3.1709361      0.14503485     0              3.3080436      2.941342     
     23500   3.3327601      0.19031937     0              3.5147476      3.6680875    
     24000   3.3266483      0.29058035     0              3.608912       4.3380359    
     24500   3.1229425      0.25140885     0              3.366544       3.8621765    
     25000   2.8622598      0.26856611     0              3.1236703      4.0188071    
     25500   3.0595441      0.18291276     0              3.234808       3.3150694    
     26000   3.014918       0.19664596     0              3.2040267      3.4438746    
     26500   2.8064641      0.21943048     0              3.0188784      3.5096597    
     27000   2.8853864      0.1966749      0              3.0748479      3.3514612    
     27500   2.93756        0.23059013     0              3.1608062      3.6377442    
     28000   2.7974889      0.16945805     0              2.9599533      3.1659085    
     28500   2.8179448      0.29983575     0              3.1107357      4.0670415    
     29000   2.8778539      0.29153209     0              3.1621913      4.1233881    
     29500   2.8816094      0.21415389     0              3.0885593      3.4355412    
     30000   3.0807575      0.15747935     0              3.230535       3.2165564    
     30500   3.0847455      0.2209004      0              3.297934       3.378699     
     31000   3.1316609      0.21595933     0              3.3397911      3.6664962    
     31500   3.2573959      0.21215641     0              3.4614088      3.8503013    
     32000   3.0863606      0.34674275     0              3.4253875      4.3336119    
     32500   3.0432674      0.26192434     0              3.2975836      4.0172683    
     33000   2.9931642      0.26472945     0              3.2504108      3.9808512    
     33500   2.9274375      0.23448052     0              3.1545995      3.6536543    
     34000   2.7332537      0.18004688     0              2.9064674      3.1080307    
     34500   2.9040414      0.1476978      0              3.0444791      3.0028757    
     35000   2.8890554      0.26670644     0              3.1485392      3.8902394    
     35500   3.0000774      0.24283236     0              3.2354096      3.9135285    
     36000   3.1187858      0.21682444     0              3.3278133      3.6134751    
     36500   3.3587162      0.19825104     0              3.5485705      3.738344     
     37000   3.1590851      0.2330931      0              3.3842805      3.6909929    
     37500   3.0221312      0.22867254     0              3.2432484      3.6069686    
     38000   3.2039261      0.17577789     0              3.3716942      3.3967753    
     38500   2.9790214      0.28371116     0              3.255285       3.9381693    
     39000   3.120686       0.16083978     0              3.2737241      3.2268789    
     39500   2.9250557      0.20562195     0              3.123365       3.4629589    
     40000   2.7881945      0.17929452     0              2.9605185      3.2445095    
     40500   2.7215013      0.23695202     0              2.9516495      3.5679652    
     41000   2.9090304      0.24770277     0              3.1494606      3.6519709    
     41500   3.1114264      0.25515698     0              3.3588048      3.9411442    
     42000   2.9926632      0.2610302      0              3.2462118      3.7325607    
     42500   3.1799294      0.20236154     0              3.3743411      3.4110587    
     43000   3.2852459      0.20970412     0              3.4867369      3.6417151    
     43500   3.2546656      0.1958773      0              3.4424063      3.4241211    
     44000   2.9979124      0.22596073     0              3.2163784      3.668455     
     44500   2.9468526      0.15062833     0              3.0901138      3.0493778    
     45000   2.9599713      0.17772247     0              3.1302938      3.3624948    
     45500   2.9693124      0.16641635     0              3.1283055      3.298147     
     46000   2.8193587      0.15683538     0              2.9691457      3.0320095    
     46500   2.9766884      0.18846046     0              3.1577072      3.4264714    
     47000   2.9558534      0.17640669     0              3.1248705      3.4163329    
     47500   3.0127659      0.17692734     0              3.1821614      3.2567857    
     48000   2.9653481      0.24880713     0              3.2067419      3.664971     
     48500   3.0004462      0.18613601     0              3.1790811      3.4820712    
     49000   2.9174156      0.27391806     0              3.1840401      3.915038     
     49500   2.9860584      0.24865894     0              3.2272522      3.6644342    
     50000   2.9954215      0.24107358     0              3.2290066      3.811802     
Loop time of 1.34984 on 2 procs for 50000 steps with 400 atoms

Performance: 32003886.149 tau/day, 37041.535 timesteps/s, 14.817 Matom-step/s
81.6% CPU use with 2 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 0.13342    | 0.18971    | 0.246      |  12.9 | 14.05
Neigh   | 0.32366    | 0.36343    | 0.40321    |   6.6 | 26.92
Comm    | 0.33301    | 0.42528    | 0.51756    |  14.2 | 31.51
Output  | 0.0018842  | 0.0031015  | 0.0043187  |   2.2 |  0.23
Modify  | 0.1843     | 0.22402    | 0.26374    |   8.4 | 16.60
Other   |            | 0.1443     |            |       | 10.69

Nlocal:            200 ave         202 max         198 min
Histogram: 1 0 0 0 0 0 0 0 0 1
Nghost:           57.5 ave          59 max          56 min
Histogram: 1 0 0 0 0 0 0 0 0 1
Neighs:            199 ave         212 max         186 min
Histogram: 1 0 0 0 0 0 0 0 0 1

Total # of neighbors = 398
Ave neighs/atom = 0.995
Neighbor list builds = 16916
Dangerous builds = 0

unfix 1
dump           1 all atom ${run_steps} 2dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 2dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 2dWCA_T0.1_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 2dWCA_T0.1_d0.5_N${run_steps}.lammpstrj
dump           1 all atom 100000 2dWCA_T0.1_d0.5_N100000.lammpstrj
dump           2 all dcd ${thermo_time} 2dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 2dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 2dWCA_T0.1_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 2dWCA_T0.1_d0.5_N${run_steps}.dcd
dump           2 all dcd 500 2dWCA_T0.1_d0.5_N100000.dcd
fix 1 all nvt temp ${initial_temperature} ${final_temperature} ${tau}
fix 1 all nvt temp 3 ${final_temperature} ${tau}
fix 1 all nvt temp 3 0.1 ${tau}
fix 1 all nvt temp 3 0.1 1

run ${run_steps}
run 100000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 3.088 | 3.088 | 3.088 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     50000   2.9954215      0.24107358     0              3.2290066      3.811802     
     50500   3.2023573      0.22255391     0              3.4169054      3.5587925    
     51000   3.0587067      0.20558768     0              3.2566476      3.5928312    
     51500   3.0124451      0.16358346     0              3.1684974      3.1836518    
     52000   2.7687914      0.19773966     0              2.9596091      3.2852664    
     52500   2.6267842      0.21755709     0              2.8377743      3.3017186    
     53000   2.7000063      0.21517641     0              2.9084327      3.4963239    
     53500   2.7601671      0.25308114     0              3.0063479      3.7366676    
     54000   2.9481066      0.14336542     0              3.0841018      2.9280579    
     54500   2.8462643      0.19577338     0              3.034922       3.4218827    
     55000   2.9197014      0.22572084     0              3.138123       3.6669796    
     55500   2.9733956      0.2066543      0              3.1726164      3.5664108    
     56000   2.9543585      0.23356616     0              3.1805387      3.8166406    
     56500   2.7179473      0.2657381      0              2.9768905      3.8858411    
     57000   2.7912716      0.19875546     0              2.9830489      3.2935209    
     57500   2.7428555      0.19157523     0              2.9275736      3.254289     
     58000   2.7260494      0.2414802      0              2.9607145      3.683499     
     58500   2.6837885      0.15466794     0              2.831747       2.9865564    
     59000   2.4758855      0.16669219     0              2.636388       3.0864397    
     59500   2.4489888      0.2561026      0              2.6989689      3.5139812    
     60000   2.6384492      0.20354893     0              2.835402       3.3108188    
     60500   2.6385757      0.16806936     0              2.8000486      2.9436469    
     61000   2.6523998      0.16657003     0              2.8123389      3.1243883    
     61500   2.649386       0.18406518     0              2.8268277      3.2538727    
     62000   2.5533112      0.14347166     0              2.6903995      2.8797187    
     62500   2.6199933      0.17799471     0              2.791438       3.1760451    
     63000   2.8145016      0.27004013     0              3.0775054      3.7828035    
     63500   2.8645916      0.14216913     0              2.9995992      2.9142025    
     64000   2.5429896      0.17942623     0              2.7160584      3.1985347    
     64500   2.4502467      0.19149475     0              2.6356158      3.2240723    
     65000   2.420489       0.19434336     0              2.6087811      3.2384312    
     65500   2.2453051      0.16841833     0              2.4081102      2.8712141    
     66000   2.4630702      0.18569228     0              2.6426048      3.040884     
     66500   2.5784784      0.12649958     0              2.6985318      2.7539083    
     67000   2.540604       0.14024289     0              2.6744954      2.6861626    
     67500   2.5812918      0.1145704      0              2.6894089      2.6694494    
     68000   2.5751296      0.25543191     0              2.8241237      3.6662709    
     68500   2.4763727      0.17470111     0              2.6448829      2.9964399    
     69000   2.4211138      0.22628674     0              2.6413477      3.4931621    
     69500   2.3677367      0.20220573     0              2.5640231      3.2946355    
     70000   2.5201523      0.11823464     0              2.6320866      2.604775     
     70500   2.2384221      0.11653184     0              2.3493579      2.5024605    
     71000   2.1652962      0.1776294      0              2.3375124      2.8543439    
     71500   2.2821327      0.10311142     0              2.3795388      2.2806459    
     72000   2.3205261      0.13249691     0              2.4472217      2.640402     
     72500   2.2915991      0.15619309     0              2.4420632      2.8105026    
     73000   2.2842458      0.20106118     0              2.4795963      3.1092778    
     73500   2.366235       0.13982958     0              2.500149       2.6504928    
     74000   2.5552549      0.12093265     0              2.6697994      2.6985667    
     74500   2.347245       0.16239348     0              2.5037704      2.9199198    
     75000   2.3921402      0.11335235     0              2.4995122      2.4839176    
     75500   2.2687059      0.13610553     0              2.3991397      2.6458972    
     76000   2.2514172      0.11129401     0              2.3570827      2.3703232    
